PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Troy Daniels,Western,17.7,8.2,2.8,7.4,37.4,2.1,5.3,38.9,0.6,0.8,79.6,0.3,1.2,1.5,0.7,0.7,0.3,0.1,1.3,0,0,1.3
Troy Williams,Western,18.6,6.2,2.4,5.6,43.7,0.6,2.1,29,0.7,1.1,65.6,0.5,1.8,2.3,0.8,1.1,0.9,0.3,2,0,0,-2.5
Ty Lawson,Western,25.1,9.9,3.4,7.6,45.4,0.5,1.7,28.8,2.5,3.1,79.7,0.6,2,2.6,4.8,1.9,1.1,0.1,1.7,3,1,-2.3
Tyler Ennis,Western,11.1,4.3,1.7,3.9,43.3,0.5,1.3,38.6,0.4,0.5,84,0.2,0.7,0.8,1.6,0.8,0.5,0,1.1,0,0,0
Tyler Johnson,Eastern,29.8,13.7,4.9,11.3,43.3,1.3,3.4,37.2,2.7,3.5,76.8,0.7,3.3,4,3.2,1.2,1.2,0.6,2.4,0,0,0.5
Tyler Ulis,Western,18.4,7.3,3,7.2,42.1,0.3,1.3,26.6,0.9,1.2,77.5,0.3,1.2,1.6,3.7,1.3,0.8,0.1,1.2,6,0,-2.3
Tyler Zeller,Eastern,10.3,3.5,1.5,3.1,49.4,0,0,0,0.4,0.8,56.4,0.8,1.6,2.4,0.8,0.4,0.1,0.4,1.2,1,0,0
Tyreke Evans,Western,19.7,10.3,3.8,9.3,40.5,1.1,3,35.6,1.7,2.3,75,0.3,3.1,3.4,3.1,1.5,0.9,0.2,1.5,0,0,-3.8
Tyson Chandler,Western,27.6,8.4,3.3,4.9,67.1,0,0,0,1.9,2.6,73.4,3.3,8.2,11.5,0.6,1.4,0.7,0.5,2.7,12,0,-1.6
Tyus Jones,Western,12.9,3.5,1.3,3,41.4,0.4,1.2,35.6,0.6,0.7,76.7,0.2,1,1.1,2.6,0.6,0.8,0.1,0.8,0,0,0.6
Udonis Haslem,Eastern,8.1,1.9,0.7,1.4,47.8,0,0.2,0,0.6,0.9,60,0.5,1.8,2.3,0.4,0.5,0.4,0.1,1.4,0,0,-4.3
Victor Oladipo,Western,33.2,15.9,6.1,13.9,44.2,1.9,5.3,36.1,1.7,2.3,75.3,0.6,3.8,4.3,2.6,1.8,1.2,0.3,2.3,3,0,2.6
Vince Carter,Western,24.7,8,2.6,6.7,39.4,1.5,4.1,37.8,1.2,1.6,76.5,0.5,2.6,3.1,1.8,0.7,0.8,0.5,2.2,0,0,2.2
Wade Baldwin IV,Western,12.3,3.2,1.1,3.5,31.3,0.1,0.7,13.6,0.9,1.1,83.8,0.3,1.1,1.4,1.8,1.2,0.5,0.2,1.2,0,0,-4.2
Wayne Ellington,Eastern,24.2,10.5,3.7,9,41.6,2.4,6.4,37.8,0.6,0.7,86,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,0,0,1.4
Wayne Selden,Western,16.9,5.1,1.8,4.1,43.1,0.5,2,25,1,1.6,63.6,0.1,1.1,1.1,0.9,0.9,0.4,0.1,1.3,0,0,-3
Wesley Johnson,Western,11.9,2.7,1.1,2.9,36.5,0.4,1.7,24.6,0.2,0.3,64.7,0.4,2.3,2.7,0.3,0.3,0.4,0.4,1.2,0,0,-0.8
Wesley Matthews,Western,34.2,13.5,4.6,11.6,39.3,2.4,6.6,36.3,2,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,0,0,-2.7
Will Barton,Western,28.4,13.7,4.9,11.1,44.3,1.5,3.9,37,2.4,3.2,75.3,1,3.4,4.3,3.4,1.6,0.8,0.5,1.8,2,0,-1.3
Willie Cauley-Stein,Western,18.9,8.1,3.4,6.4,53,0,0,0,1.3,2,66.9,1.1,3.4,4.5,1.1,0.9,0.7,0.6,2,8,0,-2.7
Willie Reed,Eastern,14.5,5.3,2.3,4,56.8,0,0.1,25,0.7,1.2,55.7,1.8,2.9,4.7,0.4,0.4,0.3,0.7,1.9,4,0,0.5
Willy Hernangomez,Eastern,18.4,8.2,3.4,6.5,52.9,0.1,0.2,26.7,1.3,1.7,72.8,2.4,4.6,7,1.3,1.4,0.6,0.5,2.1,11,0,-0.8
Wilson Chandler,Western,30.9,15.7,6.1,13.2,46.1,1.5,4.6,33.7,2,2.7,72.7,1.5,5,6.5,2,1.6,0.7,0.4,2.4,9,0,-0.5
Yogi Ferrell,Western,26,10,3.5,8.6,40.6,1.5,3.8,38.6,1.6,1.9,83.1,0.4,2,2.4,3.7,1.5,0.9,0.2,2,0,0,-2.6
Zach LaVine,Western,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3,83.6,0.4,3,3.4,3,1.8,0.9,0.2,2.2,0,0,-2.5
Zach Randolph,Western,24.5,14.1,5.9,13.2,44.9,0.3,1.3,22.3,1.9,2.6,73.1,2.5,5.7,8.2,1.7,1.4,0.5,0.1,1.9,20,0,1
Zaza Pachulia,Western,18.1,6.1,2.3,4.4,53.4,0,0,0,1.4,1.8,77.8,2,3.9,5.9,1.9,1.2,0.8,0.5,2.4,4,0,6
