PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Corey Brewer,Western,15.6,4.5,1.8,4.2,42.2,0.3,1.4,22.9,0.6,0.8,73.5,0.4,1.6,2,1.2,0.7,0.7,0.2,1.6,0,0,0.9
Cory Joseph,Eastern,25,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77,0.6,2.3,2.9,3.3,1.4,0.8,0.2,1.8,1,0,0.5
Courtney Lee,Eastern,31.9,10.8,4.2,9.1,45.6,1.4,3.5,40.1,1.1,1.3,86.7,0.7,2.7,3.4,2.3,0.9,1.1,0.3,1.8,0,0,-3
Cristiano Felicio,Eastern,15.8,4.8,1.9,3.3,57.9,0,0,0,0.9,1.4,64.5,1.9,2.8,4.7,0.6,0.5,0.4,0.3,1.7,3,0,-0.5
D'Angelo Russell,Western,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3,78.2,0.5,3,3.5,4.8,2.8,1.4,0.3,2.1,2,0,-5.7
D.J. Augustin,Eastern,19.7,7.9,2.5,6.6,37.7,1.2,3.5,34.7,1.7,2.1,81.4,0.2,1.3,1.5,2.7,1.2,0.4,0,1.3,0,0,-5.7
Dahntay Jones,Eastern,12,9,3,8,37.5,0,2,0,3,4,75,1,1,2,1,1,0,0,1,0,0,2
Damian Jones,Western,8.5,1.9,0.8,1.6,50,0,0,0,0.3,1,30,0.9,1.4,2.3,0,0.6,0.1,0.4,1.5,0,0,-2.8
Damian Lillard,Western,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,11,0,1.1
Damjan Rudez,Eastern,7,1.8,0.7,2,35.2,0.4,1.4,31.3,0,0,0,0.1,0.4,0.6,0.4,0.2,0.3,0,0.7,0,0,-1.7
Daniel Ochefu,Eastern,3.9,1.3,0.6,1.4,44.4,0,0,0,0,0.1,0,0.3,0.9,1.2,0.2,0.2,0.1,0,0.9,0,0,-1.6
Danilo Gallinari,Western,33.9,18.2,5.3,11.9,44.7,2,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,4,0,2.5
Danny Green,Western,26.6,7.3,2.6,6.6,39.2,1.7,4.6,37.9,0.4,0.5,84.4,0.5,2.8,3.3,1.8,1.1,1,0.8,1.8,0,0,3.9
Dante Cunningham,Western,25,6.6,2.6,5.4,48.5,1.1,2.7,39.2,0.2,0.4,59.3,0.8,3.3,4.2,0.6,0.4,0.6,0.4,1.5,0,0,-0.8
Dante Exum,Western,18.6,6.2,2.3,5.5,42.7,0.7,2.3,29.5,0.9,1.1,79.5,0.5,1.5,2,1.7,1.2,0.3,0.2,2.2,0,0,0
Danuel House,Eastern,0.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dario Saric,Eastern,26.3,12.8,4.7,11.4,41.1,1.3,4.2,31.1,2.1,2.7,78.2,1.4,5,6.3,2.2,2.3,0.7,0.4,2,10,0,-3.8
Darrell Arthur,Western,15.6,6.4,2.3,5.2,44.2,1.3,2.9,45.3,0.5,0.5,86.4,0.6,2.1,2.7,1,0.9,0.5,0.5,1.9,0,0,-0.6
Darren Collison,Western,30.3,13.2,5,10.5,47.6,1.1,2.6,41.7,2.2,2.5,86,0.3,1.9,2.2,4.6,1.7,1,0.1,1.8,4,0,-1.9
Darrun Hilliard,Eastern,9.8,3.3,1.2,3.2,37.3,0.3,1.2,26.1,0.5,0.7,75,0.1,0.8,0.8,0.8,0.7,0.3,0.1,1,0,0,0.3
David Lee,Western,18.7,7.3,3.1,5.3,59,0,0,0,1,1.4,70.8,1.9,3.7,5.6,1.6,1,0.4,0.5,1.6,7,0,4
David Nwaba,Western,19.9,6,2.4,4.1,58,0.1,0.3,20,1.3,2,64.1,0.9,2.3,3.2,0.7,0.6,0.7,0.4,1.8,0,0,0.6
David West,Western,12.6,4.6,2,3.7,53.6,0,0.1,37.5,0.6,0.8,76.8,0.7,2.3,3,2.2,1.1,0.6,0.7,1.5,0,0,1.8
Davis Bertans,Western,12.1,4.5,1.5,3.5,44,1,2.6,39.9,0.4,0.5,82.4,0.3,1.1,1.5,0.7,0.5,0.3,0.4,1.1,0,0,1.7
